DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,CZ07,2020,81.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,CZ07,2021,80.8,b
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,CZ08,2019,81.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,CZ08,2020,80.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,CZ08,2021,79.6,b
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE,2019,83.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE,2020,83.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE,2021,83.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE1,2019,84.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE1,2020,84.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE1,2021,84.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE11,2019,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE11,2020,84.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE11,2021,84.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE12,2019,84.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE12,2020,84.0,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE12,2021,84.1,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE13,2019,84.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE13,2020,84.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE13,2021,84.3,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE14,2019,84.6,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE14,2020,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE14,2021,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE2,2019,84.1,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE2,2020,83.8,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE2,2021,83.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE21,2019,84.7,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE21,2020,84.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE21,2021,84.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE22,2019,83.5,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE22,2020,83.2,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE22,2021,82.8,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE23,2019,83.4,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE23,2020,82.9,
ESTAT:DEMO_R_MLIFEXP(1.0),16/03/23 11:00:00,A,YR,F,Y_LT1,DE23,2021,83.0,
